district_name,name,address_city,address_street,county,zip,telephone_number,website,elementary,middle,high
Central Bucks SD,Central Bucks HS-East,Doylestown,2804 Holicong Rd,Bucks County IU 22,18902,267-893-2300,http://www.cbsd.org,FALSE,FALSE,TRUE
Central Bucks SD,Central Bucks HS-South,Warrington,1100 Folly Road,Bucks County IU 22,18976,267-893-3000,http://www.cbsd.org,FALSE,FALSE,TRUE
Central Bucks SD,Central Bucks HS-West,Doylestown,375 W Court St,Bucks County IU 22,18901,267-893-2500,http://www.cbsd.org,FALSE,FALSE,TRUE
Central Cambria SD,Central Cambria HS,Ebensburg,204 Schoolhouse Rd,Appalachia IU 8,15931,814-472-8860,https://www.cencam.org/,FALSE,FALSE,TRUE
Central Cambria SD,Central Cambria MS,Ebensburg,206 Schoolhouse Road,Appalachia IU 8,15931,814-472-6505,https://www.cencam.org/,FALSE,TRUE,FALSE
Central Columbia SD,Central Columbia El Sch,Bloomsburg,4777 Old Berwick Rd,Central Susquehanna IU 16,17815,570-784-2850,http://www.ccsd.cc,TRUE,FALSE,FALSE
Central Columbia SD,Central Columbia MS,Bloomsburg,4777 Old Berwick Rd,Central Susquehanna IU 16,17815,570-784-6103,http://www.ccsd.cc,TRUE,TRUE,FALSE
Central Columbia SD,Central Columbia SHS,Bloomsburg,4777 Old Berwick Rd,Central Susquehanna IU 16,17815,570-784-2833,http://www.ccsd.cc,FALSE,FALSE,TRUE
Central Dauphin SD,Central Dauphin East MS,Harrisburg,628 Rutherford Rd,Capital Area IU 15,17109,717-545-4709,http://www.cdschools.org,FALSE,TRUE,FALSE
Central Dauphin SD,Central Dauphin East SHS,Harrisburg,626 Rutherford Rd,Capital Area IU 15,17109,717-541-1662,http://www.cdschools.org,FALSE,FALSE,TRUE
Central Dauphin SD,Central Dauphin MS,Harrisburg,4600 Locust Lane,Capital Area IU 15,17109,717-540-4606,http://www.cdschools.org,FALSE,TRUE,FALSE
Central Dauphin SD,Central Dauphin SHS,Harrisburg,437 Piketown Road,Capital Area IU 15,17112,717-703-5360,http://www.cdschools.org,FALSE,FALSE,TRUE
Elizabeth Forward SD,Central El Sch,Elizabeth,401 Rock Run Road,Allegheny IU 3,15037,412-896-2318,http://www.efsd.net,TRUE,FALSE,FALSE
Hampton Township SD,Central El Sch,Allison Park,4100 Middle Rd,Allegheny IU 3,15101,412-492-6320,http://www.ht-sd.org,TRUE,FALSE,FALSE
Franklin Area SD,Central El Sch,Franklin,1276 Otter St,Riverview IU 6,16323,814-432-8419,http://www.fasd.k12.pa.us,TRUE,TRUE,FALSE
South Williamsport Area SD,Central El Sch,South Williamsport,555 W Mountain Ave,BLaST IU 17,17702,570-323-3694,http://www.mounties.k12.pa.us,TRUE,FALSE,FALSE
Allentown City SD,Central El Sch,Allentown,829 W Turner St,Carbon-Lehigh IU 21,18102,484-765-4801,http://www.allentownsd.org/,TRUE,FALSE,FALSE
Big Beaver Falls Area SD,Central El Sch,Beaver Falls,805 15th Street,Beaver Valley IU 27,15010,724-843-3420,http://www.tigerweb.org/,TRUE,FALSE,FALSE
Spring Cove SD,Central HS,Martinsburg,718 Central High Road,Appalachia IU 8,16662,814-473-5111,http://www.springcovesd.org,FALSE,FALSE,TRUE
Philadelphia City SD,Central HS,Philadelphia,1700 W Olney Ave,Philadelphia IU 26,19141,215-400-3590,http://www.philasd.org,FALSE,FALSE,TRUE
Penn Manor SD,Central Manor El Sch,Washington Boro,3717 Blue Rock Rd,Lancaster-Lebanon IU 13,17582,717-872-1401,http://www.pennmanor.net,TRUE,TRUE,FALSE
,Central Montco Technical High School,Plymouth Meeting,821 Plymouth Road,Montgomery County IU 23,19462,610-277-2301,http://www.cmths.org,FALSE,FALSE,TRUE
Keystone Central SD,Central Mountain HS,Mill Hall,64 Keystone Central Dr,Central IU 10,17751,570-893-4900,http://www.kcsd.k12.pa.us/,FALSE,FALSE,TRUE
Keystone Central SD,Central Mountain MS,Mill Hall,200 Ben Avenue,Central IU 10,17751,570-893-4900,http://www.kcsd.k12.pa.us/,TRUE,TRUE,FALSE
Reading SD,Central MS,Reading,215 North 12th St,Berks County IU 14,19604,484-258-7365,http://www.readingsd.org,TRUE,TRUE,FALSE
,Central PA Digital Lrng Foundation CS,Altoona,5580 Goods Lane,Appalachia IU 8,16602,814-682-5258,http://www.cpdlf.org,TRUE,TRUE,TRUE
,Central PA Institute of Science & Technology,Pleasant Gap,540 North Harrison Road,Central IU 10,16823,814-359-2793,http://www.cpi.edu,FALSE,FALSE,TRUE
Central Valley SD,Central Valley HS,Monaca,160 Baker Road Ext,Beaver Valley IU 27,15061,724-775-4300,http://www.centralvalleysd.org/District,FALSE,FALSE,TRUE
Central Valley SD,Central Valley MS,Monaca,1500 Allen Ave,Beaver Valley IU 27,15061,724-775-8200,http://www.centralvalleysd.org/District,FALSE,TRUE,FALSE
,Central Westmoreland CTC,New Stanton,240 Arona Road,Westmoreland IU 7,15672,724-925-3532,http://www.cwctc.org,FALSE,FALSE,TRUE
Central York SD,Central York HS,York,601 Mundis Mill Rd,Lincoln IU 12,17406,717-846-6789,http://www.cysd.k12.pa.us,FALSE,FALSE,TRUE
Central York SD,Central York MS,York,1950 N Hills Rd,Lincoln IU 12,17406,717-846-6789,http://www.cysd.k12.pa.us,FALSE,TRUE,FALSE
Penns Valley Area SD,Centre Hall-Potter El Sch,Centre Hall,211 North Hoffer Street,Central IU 10,16828,814-422-2000,http://www.pennsvalley.org,TRUE,FALSE,FALSE
,Centre Learning Community CS,State College,2643 W College Ave,Central IU 10,16801,814-861-7980,http://www.clccharter.org,TRUE,TRUE,FALSE
Parkland SD,Cetronia Sch,Allentown,3635 Broadway,Carbon-Lehigh IU 21,18104,610-351-5860,https://www.parklandsd.org/,TRUE,FALSE,FALSE
Unionville-Chadds Ford SD,Chadds Ford El Sch,Chadds Ford,3 Baltimore Pike,Chester County IU 24,19317,610-388-1112,https://ucfsdorg.finalsite.com/,TRUE,FALSE,FALSE
Central Dauphin SD,Chambers Hill El Sch,Harrisburg,6450 Chambers Hill Rd,Capital Area IU 15,17111,717-561-1655,http://www.cdschools.org,TRUE,FALSE,FALSE
Chambersburg Area SD,Chambersburg Area Career Magnet Sch,Chambersburg,2459 Loop Road,Lincoln IU 12,17202,717-261-5656,http://www.casdonline.org,FALSE,FALSE,TRUE
Chambersburg Area SD,Chambersburg Area MS - North,Chambersburg,1957 Scotland Ave,Lincoln IU 12,17201,717-261-3369,http://www.casdonline.org,FALSE,TRUE,FALSE
Chambersburg Area SD,Chambersburg Area MS - South,Chambersburg,1151 E McKinley St,Lincoln IU 12,17201,717-261-3385,http://www.casdonline.org,FALSE,TRUE,FALSE
Chambersburg Area SD,Chambersburg Area SHS,Chambersburg,511 S 6th St,Lincoln IU 12,17201,717-261-3328,http://www.casdonline.org,FALSE,FALSE,TRUE
Charleroi SD,Charleroi Area El Ctr,Charleroi,75 Fecsen Dr,Intermediate Unit 1,15022,724-483-5554,http://www.charleroisd.org/,TRUE,FALSE,FALSE
Charleroi SD,Charleroi Area HS,Charleroi,100 Fecsen Dr,Intermediate Unit 1,15022,724-483-3600,http://www.charleroisd.org/,FALSE,FALSE,TRUE
Charleroi SD,Charleroi Area MS,Charleroi,100 Fecsen Dr,Intermediate Unit 1,15022,724-483-3600,http://www.charleroisd.org/,FALSE,TRUE,FALSE
Burrell SD,Charles A Huston MS,Lower Burrell,1020 Puckety Church Rd,Westmoreland IU 7,15068,724-334-1443,http://www.burrell.k12.pa.us,FALSE,TRUE,FALSE
Unionville-Chadds Ford SD,Charles F Patton MS,Kennett Square,760 Unionville Road,Chester County IU 24,19348,610-347-2000,https://ucfsdorg.finalsite.com/,FALSE,TRUE,FALSE
Pennsbury SD,Charles H Boehm MS,Yardley,866 Big Oak Rd,Bucks County IU 22,19067,215-428-4220,http://www.pennsburysd.org,FALSE,TRUE,FALSE
Upper Darby SD,Charles Kelly El Sch,Drexel Hill,3400 Dennison Ave,Delaware County IU 25,19026,610-638-1070,http://www.upperdarbysd.org,TRUE,FALSE,FALSE
Scranton SD,Charles Sumner #18,Scranton,North Sumner Ave & Swetland St,Northeastern Educational IU 19,18504,570-348-3688,http://www.scrsd.org/,TRUE,FALSE,FALSE
Hollidaysburg Area SD,Charles W Longer El Sch,Hollidaysburg,1320 Union St,Appalachia IU 8,16648,814-695-4431,http://www.hasdtigers.com,TRUE,TRUE,FALSE
Great Valley SD,Charlestown El Sch,Malvern,2060 Charlestown Rd,Chester County IU 24,19355,610-935-1555,http://www.gvsd.org,TRUE,FALSE,FALSE
Wellsboro Area SD,Charlotte Lappla El Sch,Wellsboro,32 Meade St,BLaST IU 17,16901,570-724-1941,http://www.wellsborosd.org,TRUE,FALSE,FALSE
Chartiers Valley SD,Chartiers Valley HS,Bridgeville,50 Thoms Run Rd,Allegheny IU 3,15017,412-429-2273,http://www.cvsd.net,FALSE,FALSE,TRUE
Chartiers Valley SD,Chartiers Valley Intrmd School,Pittsburgh,2030 Swallow Hill Rd,Allegheny IU 3,15220,412-429-2233,http://www.cvsd.net,TRUE,FALSE,FALSE
Chartiers Valley SD,Chartiers Valley MS,Bridgeville,50 Thoms Run Rd,Allegheny IU 3,15017,412-429-2223,http://www.cvsd.net,FALSE,TRUE,FALSE
Chartiers Valley SD,Chartiers Valley Primary Sch,Bridgeville,125 Thoms Run Rd,Allegheny IU 3,15017,412-429-3270,http://www.cvsd.net,TRUE,FALSE,FALSE
Chartiers-Houston SD,Chartiers-Houston JSHS,Houston,2050 W Pike St,Intermediate Unit 1,15342,724-745-3350,http://www.chbucs.k12.pa.us,FALSE,TRUE,TRUE
Haverford Township SD,Chatham Park El Sch,Havertown,400 Allston Rd,Delaware County IU 25,19083,610-853-5900,http://www.haverford.k12.pa.us,TRUE,FALSE,FALSE
Cheltenham Township SD,Cheltenham El Sch,Cheltenham,7853 Front Street,Montgomery County IU 23,19012,215-635-7415,http://www.cheltenham.org,TRUE,FALSE,FALSE
Cheltenham Township SD,Cheltenham HS,Wyncote,500 Rices Mill Rd,Montgomery County IU 23,19095,215-517-3700,http://www.cheltenham.org,FALSE,FALSE,TRUE
,Chester Charter Scholars Academy CS,Chester,1500 Highland Avenue,Delaware County IU 25,19013,610-859-3010,https://ccschoolarts.org/,TRUE,TRUE,TRUE
,Chester Co Technical College HS-Brandywine,Downingtown,443 Boot Road,Chester County IU 24,19335,484-593-5100,http://www.cciu.org,FALSE,FALSE,TRUE
,Chester Co Technical College HS-Pennocks,West Grove,280 Pennocks Bridge Road,Chester County IU 24,19390,610-345-1800,http://www.cciu.org,FALSE,FALSE,TRUE
,Chester Co Technical College HS-Pickering,Phoenixville,1580 Charlestown Road,Chester County IU 24,19460,610-933-8877,http://www.cciu.org,FALSE,FALSE,TRUE
,Chester Community CS,Chester,302 East 5th Street,Delaware County IU 25,19013,610-447-0400,http://www.chestercommunitycharter.org,TRUE,TRUE,FALSE
Chester-Upland SD,Chester HS,Chester,232 West 9th St,Delaware County IU 25,19013,610-447-3700,http://www.chesteruplandsd.org,FALSE,FALSE,TRUE
Wyoming Valley West SD,Chester Street El Sch,Kingston,110 East Chester Street,Luzerne IU 18,18704,570-287-2438,http://www.wvwspartans.org,TRUE,FALSE,FALSE
Chester-Upland SD,Chester Upland Sch of Arts,Chester,501 West 9th St,Delaware County IU 25,19013,610-447-3777,http://www.chesteruplandsd.org,TRUE,FALSE,FALSE
Millcreek Township SD,Chestnut Hill El Sch,Erie,1001 W 54th St,Northwest Tri-County IU 5,16509,814-835-5550,http://www.mtsd.org/main/index.html,TRUE,FALSE,FALSE
Chestnut Ridge SD,Chestnut Ridge Central El Sch,New Paris,2534 Quaker Valley Road,Appalachia IU 8,15554,814-839-4195,http://www.crlions.org,TRUE,FALSE,FALSE
Chestnut Ridge SD,Chestnut Ridge MS,Fishertown,3281 Valley Road,Appalachia IU 8,15539,814-839-4195,http://www.crlions.org,TRUE,TRUE,FALSE
Chestnut Ridge SD,Chestnut Ridge SHS,New Paris,2588 Quaker Valley Road,Appalachia IU 8,15554,814-839-4195,http://www.crlions.org,FALSE,TRUE,TRUE
Haverford Township SD,Chestnutwold El Sch,Ardmore,630 Loraine St,Delaware County IU 25,19003,610-853-5900,http://www.haverford.k12.pa.us,TRUE,FALSE,FALSE
Easton Area SD,Cheston El Sch,Easton,723 Coal St,Colonial IU 20,18042,610-250-2542,http://www.eastonsd.org,TRUE,FALSE,FALSE
Chichester SD,Chichester MS,Boothwyn,925 Meetinghouse Rd,Delaware County IU 25,19061,610-485-6881,http://www.chichestersd.org,TRUE,TRUE,FALSE
Chichester SD,Chichester SHS,Boothwyn,3333 Chichester Ave,Delaware County IU 25,19061,610-485-6881,http://www.chichestersd.org,FALSE,FALSE,TRUE
Karns City Area SD,Chicora El Sch,Chicora,205 Kittanning Street,Midwestern IU 4,16025,724-445-3680,http://www.kcasdk12.org,TRUE,TRUE,FALSE
Shikellamy SD,Chief Shikellamy Sch,Sunbury,338 Memorial Drive,Central Susquehanna IU 16,17801,570-286-3728,http://www.shikbraves.org/,TRUE,FALSE,FALSE
Philadelphia City SD,Childs George W Sch,Philadelphia,1599 Wharton St,Philadelphia IU 26,19146,215-400-7950,http://www.philasd.org,TRUE,TRUE,FALSE
Stroudsburg Area SD,Chipperfield El Sch,Stroudsburg,2000 Chipperfield Drive,Colonial IU 20,18360,570-421-4834,http://www.sburg.org,TRUE,FALSE,FALSE
Montrose Area SD,Choconut Valley El Sch,Friendsville,4458 Stanley Lake Road,Northeastern Educational IU 19,18818,570-278-7300,http://www.masd.info,TRUE,TRUE,FALSE
,Christopher Columbus CS,Philadelphia,South Building,Philadelphia IU 26,19147,215-389-6000,http://www.cccs.k12.pa.us,TRUE,TRUE,FALSE
Council Rock SD,Churchville El Sch,Churchville,100 New Rd,Bucks County IU 22,18966,215-944-1700,http://www.crsd.org,TRUE,TRUE,FALSE
,Circle of Seasons CS,Fogelsville,8380 Mohr Lane,Carbon-Lehigh IU 21,18051,610-285-6267,http://www.circleofseasons.org,TRUE,TRUE,FALSE
,City CHS,Pittsburgh,201 Stanwix Street,Pittsburgh-Mt Oliver IU 2,15222,412-690-2489,http://www.cityhigh.org,FALSE,FALSE,TRUE
Clairton City SD,Clairton El Sch,Clairton,501 Waddell Ave,Allegheny IU 3,15025,412-233-9200,http://www.clairton.k12.pa.us,TRUE,FALSE,FALSE
Clairton City SD,Clairton MS/HS,Clairton,501 Waddell Ave,Allegheny IU 3,15025,412-233-9200,http://www.clairton.k12.pa.us,FALSE,TRUE,TRUE
West Mifflin Area SD,Clara Barton El Sch,West Mifflin,764 Beverly Dr,Allegheny IU 3,15122,412-466-9131,http://www.wmasd.org,TRUE,FALSE,FALSE
Whitehall-Coplay SD,Clarence M Gockley El Sch,Whitehall,2932 Zephyr Blvd,Carbon-Lehigh IU 21,18052,610-433-7551,http://www.whitehallcoplay.org,TRUE,FALSE,FALSE
Clarion Area SD,Clarion Area El Sch,Clarion,800 Boundary St,Riverview IU 6,16214,814-226-8118,http://www.clarion-schools.com,TRUE,FALSE,FALSE
Clarion Area SD,Clarion Area JSHS,Clarion,219 Liberty St,Riverview IU 6,16214,814-226-8112,http://www.clarion-schools.com,FALSE,TRUE,TRUE
,Clarion County Career Center,Shippenville,447 Career Lane,Riverview IU 6,16254,814-226-4391,http://www.clarioncte.org,FALSE,FALSE,TRUE
Clarion-Limestone Area SD,Clarion-Limestone Area JSHS,Strattanville,4091 C-L School Road,Riverview IU 6,16258,814-764-5111,http://www.clasd.net,FALSE,TRUE,TRUE
Clarion-Limestone Area SD,Clarion-Limestone El Sch,Strattanville,4091 C-L School Road,Riverview IU 6,16258,814-764-6006,http://www.clasd.net,TRUE,TRUE,FALSE
Laurel Highlands SD,Clark El Sch,Uniontown,200 Water St,Intermediate Unit 1,15401,724-437-9600,http://www.lhsd.org,TRUE,FALSE,FALSE
Harbor Creek SD,Clark El Sch,Erie,3650 Depot Rd,Northwest Tri-County IU 5,16510,814-897-2100,http://www.hcsd.iu5.org,TRUE,TRUE,FALSE
Northern Tioga SD,Clark Wood El Sch,Elkland,110A Ellison Road,BLaST IU 17,16920,814-258-5131,http://www.ntiogasd.org,TRUE,TRUE,FALSE
Pottsville Area SD,Clarke El Ctr,Pottsville,601 North 16th St,Schuylkill IU 29,17901,570-621-2945,http://www.pottsville.k12.pa.us,TRUE,FALSE,FALSE
Abington Heights SD,Clarks Summit El Sch,Clarks Summit,401 W Grove St,Northeastern Educational IU 19,18411,570-585-7300,http://www.ahsd.org,TRUE,FALSE,FALSE
Ephrata Area SD,Clay El Sch,Ephrata,250 Clay School Rd,Lancaster-Lebanon IU 13,17522,717-721-1100,http://www.easdpa.org,TRUE,FALSE,FALSE
Claysburg-Kimmel SD,Claysburg-Kimmel El Sch,Claysburg,240 CK Elementary Drive,Appalachia IU 8,16625,814-239-5144,http://www.cksdbulldogs.com,TRUE,TRUE,FALSE
Claysburg-Kimmel SD,Claysburg-Kimmel Jr HS,Claysburg,531 Bedford St,Appalachia IU 8,16625,814-239-5141,http://www.cksdbulldogs.com,FALSE,TRUE,FALSE
Claysburg-Kimmel SD,Claysburg-Kimmel Sr HS,Claysburg,531 Bedford St,Appalachia IU 8,16625,814-239-5141,http://www.cksdbulldogs.com,FALSE,FALSE,TRUE
McGuffey SD,Claysville El Sch,Claysville,119 Main St,Intermediate Unit 1,15323,724-663-7772,http://www.mcguffey.k12.pa.us/,TRUE,FALSE,FALSE
Pocono Mountain SD,Clear Run El Ctr,Tobyhanna,780 Memorial Blvd,Colonial IU 20,18466,570-839-7121,http://www.pmsd.org/,TRUE,FALSE,FALSE
Pocono Mountain SD,Clear Run Intrmd Sch,Tobyhanna,800 Memorial Blvd.,Colonial IU 20,18466,570-839-7121,http://www.pmsd.org/,TRUE,TRUE,FALSE
Clearfield Area SD,Clearfield Area El Sch,Clearfield,700 High Level Rd,Central IU 10,16830,814-765-5511,http://www.clearfield.org,TRUE,TRUE,FALSE
Clearfield Area SD,Clearfield Area JSHS,Clearfield,2831 Washington Ave,Central IU 10,16830,814-765-5511,http://www.clearfield.org,FALSE,TRUE,TRUE
,Clearfield County CTC,Clearfield,1620 River Road,Central IU 10,16830,814-765-5308,http://www.ccctc.edu,FALSE,FALSE,TRUE
Hanover Public SD,Clearview El Sch,Hanover,801 Randolph St,Lincoln IU 12,17331,717-637-9000,http://www.hpsd.k12.pa.us,TRUE,FALSE,FALSE
Red Lion Area SD,Clearview El Sch,Brogue,2650 Delta Rd,Lincoln IU 12,17309,717-927-6791,http://www.rlasd.net,TRUE,TRUE,FALSE
Bethlehem Area SD,Clearview El Sch,Bethlehem,2121 Abington Rd,Colonial IU 20,18018,610-868-5994,http://www.basdschools.org,TRUE,FALSE,FALSE
Philadelphia City SD,Clemente Roberto MS,Philadelphia,122 W Erie Ave,Philadelphia IU 26,19140,215-400-3930,http://www.philasd.org,FALSE,TRUE,FALSE
Annville-Cleona SD,Cleona El Sch,Cleona,50 E Walnut St,Lancaster-Lebanon IU 13,17042,717-867-7640,http://www.acschools.org,TRUE,FALSE,FALSE
Solanco SD,Clermont El Sch,Quarryville,1868 Robert Fulton Hwy,Lancaster-Lebanon IU 13,17566,717-548-2742,http://www.solancosd.org/,TRUE,FALSE,FALSE
Coatesville Area SD,Coatesville Area SHS,Coatesville,1445 East Lincoln Highway,Chester County IU 24,19320,610-383-3730,http://www.casdschools.org,FALSE,FALSE,TRUE
Coatesville Area SD,Coatesville Intermediate HS,Coatsville,1425 E Lincoln Highway,Chester County IU 24,19320,610-383-3735,http://www.casdschools.org,FALSE,TRUE,TRUE
Cocalico SD,Cocalico MS,Denver,South 6th Street,Lancaster-Lebanon IU 13,17517,717-336-1471,http://www.cocalico.org,FALSE,TRUE,FALSE
Cocalico SD,Cocalico SHS,Denver,South 4th Street,Lancaster-Lebanon IU 13,17517,717-336-1423,http://www.cocalico.org,FALSE,FALSE,TRUE
Williamsport Area SD,Cochran Primary Sch,Williamsport,1500 Cherry St,BLaST IU 17,17701,570-322-9731,http://www.wasd.org,TRUE,FALSE,FALSE
Crawford Central SD,Cochranton El Sch,Cochranton,225 South Franklin Street,Northwest Tri-County IU 5,16314,814-425-2105,http://www.craw.org,TRUE,TRUE,FALSE
Crawford Central SD,Cochranton JSHS,Cochranton,105 Second Street,Northwest Tri-County IU 5,16314,814-425-7421,http://www.craw.org,FALSE,TRUE,TRUE
Penn-Delco SD,Coebourn El Sch,Brookhaven,1 Coebourn Boulevard,Delaware County IU 25,19015,610-497-6300,http://www.pdsd.org,TRUE,FALSE,FALSE
Central Bucks SD,Cold Spring El Sch,Doylestown,4150 Durham Rd,Bucks County IU 22,18902,267-893-3800,http://www.cbsd.org,TRUE,TRUE,FALSE
Norristown Area SD,Cole Manor El Sch,Norristown,2350 Springview Rd,Montgomery County IU 23,19401,610-275-5525,http://www.nasd.k12.pa.us,TRUE,FALSE,FALSE
Boyertown Area SD,Colebrookdale El Sch,Boyertown,1001 Montgomery Avenue,Berks County IU 14,19512,610-369-7427,http://www.boyertownasd.org/,TRUE,FALSE,FALSE
Beaver Area SD,College Square El Sch,Beaver,375 College Ave,Beaver Valley IU 27,15009,724-774-1168,http://www.basd.k12.pa.us,TRUE,FALSE,FALSE
,Collegium CS,Exton,456 Creamery Way,Chester County IU 24,19341,610-903-1300,http://www.collegiumcharter.com,TRUE,TRUE,TRUE
Northampton Area SD,Colonel John Siegfried El Sch,Northampton,1677 Lincoln Ave,Colonial IU 20,18067,610-262-6430,http://www.nasdschools.org,TRUE,FALSE,FALSE
Colonial SD,Colonial El Sch,Plymouth Meeting,230 Flourtown Rd,Montgomery County IU 23,19462,610-941-0426,http://www.colonialsd.org/index.aspx,TRUE,FALSE,FALSE
Colonial SD,Colonial MS,Plymouth Meeting,716 Belvoir Rd,Montgomery County IU 23,19462,610-275-5100,http://www.colonialsd.org/index.aspx,FALSE,TRUE,FALSE
Columbia Borough SD,Columbia HS,Columbia,901 Ironville Pike,Lancaster-Lebanon IU 13,17512,717-684-7500,http://www.columbiabsd.org,FALSE,FALSE,TRUE
Columbia Borough SD,Columbia MS Hill Campus,Columbia,901 Ironville Pike,Lancaster-Lebanon IU 13,17512,717-684-7500,http://www.columbiabsd.org,FALSE,TRUE,FALSE
Columbia Borough SD,Columbia MS Taylor Campus,Columbia,45 N 9th St,Lancaster-Lebanon IU 13,17512,717-684-4010,http://www.columbiabsd.org,TRUE,TRUE,FALSE
,Columbia-Montour AVTS,Bloomsburg,5050 Sweppenheiser Drive,Central Susquehanna IU 16,17815,570-784-8040,http://www.cmvt.us,FALSE,FALSE,TRUE
William Penn SD,Colwyn El Sch,Colwyn,211 Pine Street,Delaware County IU 25,19023,610-957-5470,http://www.wpsd.k12.pa.us,TRUE,TRUE,FALSE
Philadelphia City SD,Comegys Benjamin B Sch,Philadelphia,5100 Greenway Ave,Philadelphia IU 26,19143,215-400-7860,http://www.philasd.org,TRUE,TRUE,FALSE
Philadelphia City SD,Comly Watson Sch,Philadelphia,1001 Byberry Rd,Philadelphia IU 26,19116,215-400-3010,http://www.philasd.org,TRUE,FALSE,FALSE
Commodore Perry SD,Commodore Perry JSHS,Hadley,3002 Perry Hwy,Midwestern IU 4,16130,724-253-2232,http://www.cppanthers.org,FALSE,TRUE,TRUE
Commodore Perry SD,Commodore Perry Sch,Hadley,3002 Perry Hwy,Midwestern IU 4,16130,724-253-2025,http://www.cppanthers.org,TRUE,TRUE,FALSE
,Commonwealth Charter Academy CS,Harrisburg,One Innovation Way,Capital Area IU 15,17110,717-710-3300,http://www.ccaeducate.me,TRUE,TRUE,TRUE
,Community Academy of Philadelphia CS,Philadelphia,1100 East Erie Ave,Philadelphia IU 26,19124,215-533-6700,http://www.communityacademy.org,TRUE,TRUE,TRUE
Garnet Valley SD,Concord El Sch,Glen Mills,114 Station Road,Delaware County IU 25,19342,610-579-6100,http://www.garnetvalleyschools.com,TRUE,FALSE,FALSE
Conemaugh Township Area SD,Conemaugh Twp Area El Sch,Johnstown,1516 Tire Hill Rd,Appalachia IU 8,15905,814-479-4080,http://www.ctasd.org,TRUE,FALSE,FALSE
Conemaugh Township Area SD,Conemaugh Twp Area MS/SHS,Davidsville,300 West Campus Ave,Appalachia IU 8,15928,814-479-4014,http://www.ctasd.org,FALSE,TRUE,TRUE
Conemaugh Valley SD,Conemaugh Valley El Sch,Johnstown,1340 William Penn Avenue,Appalachia IU 8,15906,814-535-6970,http://www.cvk12.org,TRUE,TRUE,FALSE
Conemaugh Valley SD,Conemaugh Valley JSHS,Johnstown,1342 William Penn Ave,Appalachia IU 8,15906,814-535-5523,http://www.cvk12.org,FALSE,TRUE,TRUE
Penn Manor SD,Conestoga El Sch,Conestoga,100 Hill St,Lancaster-Lebanon IU 13,17516,717-872-9535,http://www.pennmanor.net,TRUE,TRUE,FALSE
Tredyffrin-Easttown SD,Conestoga SHS,Berwyn,200 Irish Rd,Chester County IU 24,19312,610-240-1000,http://www.tesd.net,FALSE,FALSE,TRUE
Conestoga Valley SD,Conestoga Valley SHS,Lancaster,2110 Horseshoe Rd,Lancaster-Lebanon IU 13,17601,717-397-5231,http://www.conestogavalley.org,FALSE,FALSE,TRUE
Northeastern York SD,Conewago El Sch,York,570 Copenhaffer Rd,Lincoln IU 12,17404,717-266-1644,http://www.nesd.k12.pa.us,TRUE,FALSE,FALSE
Lower Dauphin SD,Conewago El Sch,Elizabethtown,2809 Hershey Rd,Capital Area IU 15,17022,717-367-7233,http://www.ldsd.org,TRUE,FALSE,FALSE
Conewago Valley SD,Conewago Twp El Sch,Hanover,1189 W Elm Ave,Lincoln IU 12,17331,717-624-2157,http://www.conewago.k12.pa.us,TRUE,FALSE,FALSE
Conewago Valley SD,Conewago Valley Intrmd Sch,New Oxford,175 700 Road,Lincoln IU 12,17350,717-624-2157,http://www.conewago.k12.pa.us,TRUE,TRUE,FALSE
Conneaut SD,Conneaut Area Senior High,Linesville,302 W School Dr,Northwest Tri-County IU 5,16424,814-683-5551,http://www.conneautsd.org/,FALSE,FALSE,TRUE
Conneaut SD,Conneaut Lake MS,Conneaut Lake,10331 U.S. Highway 6,Northwest Tri-County IU 5,16316,814-382-5315,http://www.conneautsd.org/,TRUE,TRUE,FALSE
Conneaut SD,Conneaut Lake-Sadsbury El Sch,Conneaut Lake,630 Line Street Box AB,Northwest Tri-County IU 5,16316,814-382-8191,http://www.conneautsd.org/,TRUE,FALSE,FALSE
Conneaut SD,Conneaut Valley El Sch,Conneautville,22491 State Highway 18,Northwest Tri-County IU 5,16406,814-587-6326,http://www.conneautsd.org/,TRUE,FALSE,FALSE
Conneaut SD,Conneaut Valley MS,Conneautville,22154 State Highway 18,Northwest Tri-County IU 5,16406,814-587-2091,http://www.conneautsd.org/,TRUE,TRUE,FALSE
,Connellsville Area Career & Technical Center,Connellsville,720 Locust Street,Intermediate Unit 1,15425,724-626-0236,http://www.casdfalcons.org/schools/ctc.php,FALSE,FALSE,TRUE
Connellsville Area SD,Connellsville Area MS,Connellsville,Locust Street Extension,Intermediate Unit 1,15425,724-628-8910,http://www.casdfalcons.org/,FALSE,TRUE,FALSE
Connellsville Area SD,Connellsville Area SHS,Connellsville,201 Falcon Drive,Intermediate Unit 1,15425,724-628-1350,http://www.casdfalcons.org/,FALSE,FALSE,TRUE
Butler Area SD,Connoquenessing El Sch,Renfrew,102 Connoquenessing School Road,Midwestern IU 4,16053,724-287-8721,https://www.basdk12.org,TRUE,FALSE,FALSE
Seneca Valley SD,Connoquenessing Valley El Sch,Zelienople,300 Pittsburgh St,Midwestern IU 4,16063,724-452-8280,http://www.svsd.net/,TRUE,FALSE,FALSE
